DSEX,Date,Open,High,Low,Close,64248935
DSEX,01/27/2014,4758.37,4774.14,4714.61,4751.61,174295140
DSEX,01/28/2014,4751.61,4772.83,4700.61,4706.54,147032429
DSEX,01/29/2014,4706.54,4759.70,4706.54,4748.51,141057305
DSEX,01/30/2014,4748.51,4788.16,4748.51,4753.17,187622912
DSEX,02/02/2014,4753.17,4804.42,4753.17,4787.66,180010225
DSEX,02/03/2014,4787.66,4833.38,4787.66,4826.51,199836615
DSEX,02/04/2014,4826.51,4871.47,4809.54,4809.54,212696667
DSEX,02/05/2014,4809.54,4811.49,4809.54,4811.49,132126638
DSEX,02/06/2014,4811.49,4884.00,4811.49,4845.08,145920088
DSEX,02/09/2014,4845.08,4871.00,4822.71,4822.71,133536867
DSEX,02/10/2014,4822.71,4850.62,4797.97,4797.97,111725375
DSEX,02/11/2014,4797.97,4804.24,4761.91,4763.46,89835223
DSEX,02/12/2014,4763.46,4812.37,4763.46,4763.71,101051984
DSEX,02/13/2014,4763.71,4798.71,4753.68,4759.32,95886154
DSEX,02/16/2014,4759.32,4789.79,4709.73,4713.87,71007358
DSEX,02/17/2014,4713.87,4735.09,4684.07,4684.07,62308701
DSEX,02/18/2014,4684.07,4713.50,4661.38,4671.56,71723477
DSEX,02/19/2014,4671.56,4758.72,4671.56,4749.23,93077770
DSEX,02/20/2014,4749.23,4785.26,4749.23,4761.18,85647220
DSEX,02/23/2014,4761.18,4778.10,4727.44,4727.44,79733821
DSEX,02/24/2014,4727.44,4763.30,4727.44,4751.58,97593878
DSEX,02/25/2014,4751.58,4787.15,4751.58,4756.88,91329762
DSEX,02/26/2014,4756.88,4770.06,4732.75,4750.26,71223788
DSEX,02/27/2014,4750.26,4768.81,4745.81,4749.86,101048999
DSEX,03/02/2014,4749.86,4776.38,4697.30,4697.30,88875832
DSEX,03/03/2014,4697.30,4732.25,4685.53,4687.19,81372799
DSEX,03/04/2014,4687.19,4728.11,4687.19,4703.87,83146727
DSEX,03/05/2014,4703.87,4717.23,4684.67,4697.54,65013106
DSEX,03/06/2014,4697.54,4724.82,4690.50,4699.62,68240494
DSEX,03/09/2014,4699.62,4715.65,4687.19,4687.19,84159083
DSEX,03/10/2014,4687.19,4715.74,4663.98,4665.56,76573051
DSEX,03/11/2014,4665.56,4687.48,4662.62,4672.63,56221196
DSEX,03/12/2014,4672.63,4693.83,4660.52,4660.52,73205749
DSEX,03/13/2014,4660.52,4673.17,4635.00,4635.33,64072902
DSEX,03/16/2014,4635.33,4635.33,4591.17,4591.17,57578832
DSEX,03/18/2014,4591.17,4608.85,4554.78,4554.78,58061182
DSEX,03/19/2014,4554.78,4554.78,4502.21,4519.02,60955478
DSEX,03/20/2014,4519.02,4570.67,4518.43,4558.93,53169424
DSEX,03/23/2014,4558.93,4569.93,4519.54,4519.54,47142514
DSEX,03/24/2014,4519.54,4526.87,4466.08,4466.08,55174943
DSEX,03/25/2014,4466.08,4514.84,4462.87,4498.77,53284969
DSEX,03/27/2014,4498.77,4532.27,4498.77,4508.05,59548182
DSEX,03/30/2014,4508.05,4509.67,4478.68,4478.68,57379556
DSEX,03/31/2014,4478.68,4506.24,4475.21,4491.98,59067096
DSEX,04/01/2014,4491.98,4532.69,4491.98,4526.94,60024906
DSEX,04/02/2014,4526.94,4604.73,4526.94,4595.80,77524504
DSEX,04/03/2014,4595.80,4634.06,4595.09,4621.22,77687603
DSEX,04/06/2014,4621.22,4642.55,4588.78,4588.78,70821855
DSEX,04/07/2014,4588.78,4626.94,4588.78,4608.29,70396789
DSEX,04/08/2014,4608.29,4634.83,4582.79,4586.91,93350324
DSEX,04/09/2014,4586.91,4611.22,4560.70,4594.33,82242900
DSEX,04/10/2014,4594.33,4634.38,4592.73,4592.73,70989112
DSEX,04/13/2014,4592.73,4608.05,4573.56,4573.56,34114926
DSEX,04/15/2014,4573.56,4613.73,4573.56,4606.75,79889235
DSEX,04/16/2014,4606.75,4636.74,4589.60,4590.14,84846686
DSEX,04/17/2014,4590.14,4619.97,4590.14,4598.91,77238899
DSEX,04/20/2014,4598.91,4639.10,4598.91,4616.44,80896528
DSEX,04/21/2014,4616.44,4665.81,4616.44,4648.75,109199474
DSEX,04/22/2014,4648.75,4669.15,4647.73,4659.99,91664648
DSEX,04/23/2014,4659.99,4703.15,4659.99,4694.21,105935262
DSEX,04/24/2014,4694.21,4728.90,4694.21,4702.45,124542762
DSEX,04/27/2014,4702.45,4715.88,4665.63,4666.41,100262176
DSEX,04/28/2014,4666.41,4692.07,4617.77,4624.75,101035851
DSEX,04/29/2014,4624.75,4632.12,4567.04,4567.04,84624657
DSEX,04/30/2014,4567.04,4581.07,4534.14,4566.85,84850457
DSEX,05/04/2014,4566.85,4575.14,4504.77,4504.77,75422628
DSEX,05/05/2014,4504.77,4532.06,4487.83,4506.44,73699077
DSEX,05/06/2014,4506.44,4578.35,4506.44,4562.96,92094676
DSEX,05/07/2014,4562.96,4608.70,4562.96,4575.50,92357548
DSEX,05/08/2014,4575.50,4597.59,4555.11,4555.11,79826954
DSEX,05/11/2014,4555.11,4555.11,4498.34,4498.34,86152404
DSEX,05/12/2014,4498.34,4510.29,4490.09,4497.12,96879171
DSEX,05/14/2014,4497.12,4503.28,4457.49,4457.49,94552661
DSEX,05/15/2014,4457.49,4457.49,4396.58,4416.95,78487059
DSEX,05/18/2014,4416.95,4432.83,4402.50,4402.50,58934773
DSEX,05/19/2014,4402.50,4416.95,4364.27,4364.27,54125095
DSEX,05/20/2014,4364.27,4387.09,4352.21,4363.49,50363138
DSEX,05/21/2014,4363.49,4425.86,4363.49,4410.63,61160829
DSEX,05/22/2014,4410.63,4449.07,4384.06,4384.06,66695862
DSEX,05/25/2014,4384.06,4400.34,4372.60,4378.25,45543873
DSEX,05/26/2014,4378.25,4392.66,4377.12,4378.34,58390675
DSEX,05/27/2014,4378.34,4424.59,4378.34,4415.75,56710645
DSEX,05/28/2014,4415.75,4444.05,4415.75,4430.98,66614586
DSEX,05/29/2014,4430.98,4444.54,4425.30,4430.47,69150697
DSEX,06/01/2014,4430.47,4464.98,4430.47,4448.57,74336132
DSEX,06/02/2014,4448.57,4484.64,4447.45,4447.45,70595615
DSEX,06/03/2014,4447.45,4469.68,4418.79,4418.79,79867885
DSEX,06/04/2014,4418.79,4453.17,4401.00,4401.00,77591693
DSEX,06/05/2014,4401.00,4437.34,4396.54,4396.54,84421536
DSEX,06/08/2014,4396.54,4396.54,4299.93,4346.33,98909541
DSEX,06/09/2014,4346.33,4424.38,4346.33,4415.96,105607852
DSEX,06/10/2014,4415.96,4425.69,4375.89,4401.88,91794974
DSEX,06/11/2014,4401.88,4434.57,4401.88,4411.17,84553672
DSEX,06/12/2014,4411.17,4425.89,4403.29,4408.80,76940374
DSEX,06/15/2014,4408.80,4416.44,4361.58,4361.58,65609271
DSEX,06/16/2014,4361.58,4399.30,4358.75,4358.75,66486510
DSEX,06/17/2014,4358.75,4368.77,4323.94,4338.87,56639654
DSEX,06/18/2014,4338.87,4358.76,4336.01,4340.46,54441659
DSEX,06/19/2014,4340.46,4356.01,4318.63,4328.40,57190645
DSEX,06/22/2014,4328.40,4334.81,4307.39,4322.26,51042035
DSEX,06/23/2014,4322.26,4381.33,4322.26,4367.89,67590385
DSEX,06/24/2014,4367.89,4408.63,4367.89,4392.94,75902447
DSEX,06/25/2014,4392.94,4422.91,4392.94,4403.64,84457121
DSEX,06/26/2014,4403.64,4423.03,4381.97,4409.42,79514764
DSEX,06/29/2014,4409.42,4499.58,4409.42,4487.07,103930420
DSEX,06/30/2014,4487.07,4513.00,4478.88,4480.52,70609784
DSEX,07/02/2014,4480.52,4502.37,4466.61,4466.61,70440982
DSEX,07/03/2014,4466.61,4485.04,4433.50,4436.20,75701458
DSEX,07/06/2014,4436.20,4443.89,4411.15,4411.15,63518681
DSEX,07/07/2014,4411.15,4417.71,4376.77,4376.77,53462960
DSEX,07/08/2014,4376.77,4390.39,4365.77,4376.52,52114006
DSEX,07/09/2014,4376.52,4404.45,4371.00,4371.00,42505348
DSEX,07/10/2014,4371.00,4380.47,4355.40,4363.08,45954448
DSEX,07/13/2014,4363.08,4366.00,4343.34,4344.36,42010417
DSEX,07/14/2014,4344.36,4389.81,4344.36,4376.89,46150172
DSEX,07/15/2014,4376.89,4381.86,4350.43,4362.78,50783618
DSEX,07/16/2014,4362.78,4403.72,4362.78,4389.35,61697175
DSEX,07/17/2014,4389.35,4403.68,4388.92,4392.15,65985712
DSEX,07/20/2014,4392.15,4392.15,4348.07,4374.19,67560840
DSEX,07/21/2014,4374.19,4406.31,4374.19,4394.94,74165747
DSEX,07/22/2014,4394.94,4432.41,4394.94,4424.60,85721148
DSEX,07/23/2014,4424.60,4437.71,4388.68,4388.68,77021436
DSEX,07/24/2014,4388.68,4440.30,4388.68,4427.15,71002862
DSEX,08/03/2014,4427.15,4428.51,4407.70,4420.61,100520174
DSEX,08/04/2014,4420.61,4483.12,4420.61,4467.00,115917538
DSEX,08/05/2014,4467.00,4503.71,4467.00,4472.17,121693274
DSEX,08/06/2014,4472.17,4508.33,4472.17,4484.90,141288069
DSEX,08/07/2014,4484.90,4503.33,4476.01,4486.19,127003492
DSEX,08/10/2014,4486.19,4546.33,4486.19,4530.83,160739692
DSEX,08/11/2014,4530.83,4586.15,4530.83,4565.13,164834629
DSEX,08/12/2014,4565.13,4606.82,4526.49,4526.49,151216133
DSEX,08/13/2014,4526.49,4558.48,4522.06,4527.21,108980876
DSEX,08/14/2014,4527.21,4564.03,4527.21,4554.51,151531460
DSEX,08/18/2014,4554.51,4584.54,4550.80,4554.14,158646730
DSEX,08/19/2014,4554.14,4586.82,4554.14,4576.36,160804507
DSEX,08/20/2014,4576.36,4605.14,4553.86,4553.86,131054007
DSEX,08/21/2014,4553.86,4573.73,4546.77,4547.05,133967836
DSEX,08/24/2014,4547.05,4572.18,4540.60,4540.60,162535292
DSEX,08/25/2014,4540.60,4575.00,4525.61,4564.34,160161455
DSEX,08/26/2014,4564.34,4611.98,4564.34,4590.65,188490839
DSEX,08/27/2014,4590.65,4619.66,4586.05,4599.46,145556072
DSEX,08/28/2014,4599.46,4608.52,4577.99,4577.99,152438791
DSEX,08/31/2014,4577.99,4593.99,4549.51,4549.51,118818184
DSEX,09/01/2014,4549.51,4581.91,4549.51,4554.97,121357346
DSEX,09/02/2014,4554.97,4618.20,4554.97,4602.43,148079446
DSEX,09/03/2014,4602.43,4660.12,4602.43,4632.46,143316956
DSEX,09/04/2014,4632.46,4665.84,4632.46,4642.37,160170902
DSEX,09/07/2014,4642.37,4671.49,4641.45,4641.45,147241420
DSEX,09/08/2014,4641.45,4658.10,4608.95,4608.95,118076266
DSEX,09/09/2014,4608.95,4659.39,4608.95,4647.43,111482497
DSEX,09/10/2014,4647.43,4695.37,4647.43,4663.13,137775913
DSEX,09/11/2014,4663.13,4707.91,4663.13,4675.91,151575665
DSEX,09/14/2014,4675.91,4726.61,4675.91,4713.58,154116774
DSEX,09/15/2014,4713.58,4755.99,4709.91,4709.91,125605245
DSEX,09/16/2014,4709.91,4777.45,4709.91,4759.39,170267345
DSEX,09/17/2014,4759.39,4855.68,4759.39,4798.39,195371417
DSEX,09/18/2014,4798.39,4882.37,4798.39,4866.19,255584970
DSEX,09/21/2014,4866.19,4930.07,4866.19,4913.24,225897648
DSEX,09/22/2014,4913.24,4955.78,4897.40,4924.52,228857144
DSEX,09/23/2014,4924.52,5010.25,4924.52,4967.11,275118156
DSEX,09/24/2014,4967.11,5016.19,4967.11,4979.72,210844781
DSEX,09/25/2014,4979.72,5044.34,4979.72,5026.92,255090683
DSEX,09/28/2014,5026.92,5126.53,5026.92,5072.20,228428886
DSEX,09/29/2014,5072.20,5117.34,5012.68,5050.34,172271143
DSEX,09/30/2014,5050.34,5087.65,5045.95,5074.30,158316453
DSEX,10/01/2014,5074.30,5181.33,5074.30,5153.26,193652317
